system,metric,k,value,n
hybrid_gr_expand,ndcg,3,0.2271821625595243,60
hybrid_gr_expand,ndcg,5,0.24080765198132323,60
hybrid_gr_expand,ndcg,10,0.25590031362744986,60
hybrid_gr_expand,ndcg,20,0.26392328384677916,60
hybrid_gr_expand,precision,1,0.21666666666666667,60
hybrid_gr_expand,precision,3,0.07777777777777777,60
hybrid_gr_expand,precision,5,0.053333333333333344,60
hybrid_gr_expand,precision,10,0.031666666666666676,60
hybrid_gr_expand,precision,20,0.017500000000000005,60
hybrid_gr_expand,recall,1,0.21666666666666667,60
hybrid_gr_expand,recall,3,0.23333333333333334,60
hybrid_gr_expand,recall,5,0.26666666666666666,60
hybrid_gr_expand,recall,10,0.31666666666666665,60
hybrid_gr_expand,recall,20,0.35,60
